campaign,record_count,raw_run_count,successful_raw_run_count,failed_raw_run_count,evaluation_count,formal_main_evaluation_count,diagnostic_evaluation_count,run_spec_count,batch_count,legacy_location_count,flights,domains,first_date,last_date
P4_P5_batch_ascii_20260714,1,0,0,0,0,0,0,0,1,1,,P4_WITH_P5,20260714,20260714
P4_P5_mainline_20260712,33,20,18,0,6,0,6,0,7,0,fly1;fly2;fly3;fly4,P4_RELATED_UNCLASSIFIED;P4_WITH_P5;P5_ONLY_IN_P4_CAMPAIGN,20260712,20260712
P4_P5_redesign_20260713,119,66,47,3,19,0,19,0,34,18,fly1;fly3,P4_RELATED_UNCLASSIFIED;P4_WITH_P5;P5_ONLY_IN_P4_CAMPAIGN,20260713,20260713
P4_P5_redesign_20260714,13,0,0,0,13,0,13,0,0,0,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_full_20260714_v1,2,2,0,2,0,0,0,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_full_20260714_v1_eval,2,0,0,0,2,0,2,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_full_20260714_v2,2,2,0,2,0,0,0,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_full_20260714_v2_eval,2,0,0,0,2,0,2,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_short_20260714,2,2,0,0,0,0,0,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_short_20260714_v2,2,2,0,2,0,0,0,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_short_20260714_v3,2,2,0,2,0,0,0,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_short_20260714_v3_eval,2,0,0,0,2,0,2,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_short_20260714_v4,2,2,0,2,0,0,0,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_short_20260714_v4_eval,2,0,0,0,2,0,2,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_short_20260714_v5,2,2,0,2,0,0,0,0,0,2,fly1;fly3,P4_RELATED_UNCLASSIFIED,20260714,20260714
P4_P5_window_count_short_20260714_v6,1,1,0,0,0,0,0,0,0,1,fly1,P4_RELATED_UNCLASSIFIED,20260714,20260714
