record_id,record_type,experiment_domain,campaign,date,flight,method,scope,record_status,evidence_grade,location_contract,source_path,linked_trajectory,linked_run_spec,start_time_s,end_time_s,initialization_mode,yaw_mode,height_mode,camera_stride,alignment_mode,sampling_mode,exit_code,trajectory_rows,readiness,selected_window_s,handoff_model,duration_s,gps_distance_km,xy_rmse_m,final_xy_error_m,speed_rmse_mps,vxy_vec_rmse_mps,course_rmse_deg,course_final_deg,final_vertical_error_m,run_contract_hash,repeat_group_size,artifact_group_size,notes
P4-RAW_RUN-df8a6ebfcf32,raw_run,P4_RELATED_UNCLASSIFIED,P4_diag_window_count_v8_fly1,,fly1,P4_diag_window_count_v8_fly1,,ARTIFACT_WITHOUT_EXIT_RECEIPT,RUNTIME_ONLY,LEGACY_OUTSIDE_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/P4_diag_window_count_v8_fly1,C:/Users/baloney/Desktop/P4_diag_window_count_v8_fly1/traj_nav.txt,,,,,,,,,,,1,,,,,,,,,,,,,,,1,missing_command
P4-RAW_RUN-ea626f994306,raw_run,P4_RELATED_UNCLASSIFIED,P4_diag_window_count_v9_fly1,,fly1,P4_diag_window_count_v9_fly1,,ARTIFACT_WITHOUT_EXIT_RECEIPT,RUNTIME_ONLY,LEGACY_OUTSIDE_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/P4_diag_window_count_v9_fly1,C:/Users/baloney/Desktop/P4_diag_window_count_v9_fly1/traj_nav.txt,,,,,,,,,,,1,,,,,,,,,,,,,,,1,missing_command
P4-BATCH-283deb374471,batch,P5_ONLY_IN_P4_CAMPAIGN,P4_P5_mainline_20260712,20260712,,20260713_004626,,FAILED,ORCHESTRATION_ONLY,COMPLIANT_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/实验目录/P4_P5_mainline_20260712/p5/shadow_runtime_fourflight/20260713_004626,,,,,,,,,,,,,,,,,,,,,,,,,,,,batch_exit_codes.csv
P4-BATCH-e985b09fd7be,batch,P5_ONLY_IN_P4_CAMPAIGN,P4_P5_mainline_20260712,20260712,,20260713_012025,,BATCH_RECEIPT_PRESENT,ORCHESTRATION_ONLY,COMPLIANT_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/实验目录/P4_P5_mainline_20260712/p5/shadow_runtime_fourflight/20260713_012025,,,,,,,,,,,,,,,,,,,,,,,,,,,,batch_exit_codes.csv
P4-BATCH-b5cc2aab1077,batch,P5_ONLY_IN_P4_CAMPAIGN,P4_P5_mainline_20260712,20260712,,20260713_022007,,BATCH_RECEIPT_PRESENT,ORCHESTRATION_ONLY,COMPLIANT_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/实验目录/P4_P5_mainline_20260712/p5/shadow_runtime_fourflight/20260713_022007,,,,,,,,,,,,,,,,,,,,,,,,,,,,batch_exit_codes.csv
P4-BATCH-9a544ec31845,batch,P5_ONLY_IN_P4_CAMPAIGN,P4_P5_mainline_20260712,20260712,,20260713_032309,,BATCH_RECEIPT_PRESENT,ORCHESTRATION_ONLY,COMPLIANT_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/实验目录/P4_P5_mainline_20260712/p5/shadow_runtime_fourflight/20260713_032309,,,,,,,,,,,,,,,,,,,,,,,,,,,,batch_exit_codes.csv
P4-RAW_RUN-d811fdc0f923,raw_run,P4_RELATED_UNCLASSIFIED,P4_P5_mainline_20260712,20260712,,p5,,ARTIFACT_WITHOUT_EXIT_RECEIPT,RUNTIME_ONLY,COMPLIANT_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/实验目录/P4_P5_mainline_20260712/p5,C:/Users/baloney/Desktop/实验目录/P4_P5_mainline_20260712/p5/traj_nav.txt,,,,,,,,,,,131,,,,,,,,,,,,,,,1,missing_command
P4-BATCH-8b734906f374,batch,P5_ONLY_IN_P4_CAMPAIGN,P4_P5_mainline_20260712,20260712,fly1,20260713_031430_fly1_fly3_first_turn,screen,BATCH_RECEIPT_PRESENT,ORCHESTRATION_ONLY,COMPLIANT_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/实验目录/P4_P5_mainline_20260712/p5/active_screening/20260713_031430_fly1_fly3_first_turn,,,,,,,,,,,,,,,,,,,,,,,,,,,,batch_exit_codes.csv
P4-BATCH-503a92ef92bc,batch,P5_ONLY_IN_P4_CAMPAIGN,P4_P5_mainline_20260712,20260712,fly1,20260713_041446_fly1_fly3_first_turn,screen,BATCH_RECEIPT_PRESENT,ORCHESTRATION_ONLY,COMPLIANT_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/实验目录/P4_P5_mainline_20260712/p5/active_screening/20260713_041446_fly1_fly3_first_turn,,,,,,,,,,,,,,,,,,,,,,,,,,,,batch_exit_codes.csv
P4-BATCH-687f6f9c8a70,batch,P5_ONLY_IN_P4_CAMPAIGN,P4_P5_mainline_20260712,20260712,fly1,20260713_000126_fly1_current_source_full_airborne,full,BATCH_RECEIPT_PRESENT,ORCHESTRATION_ONLY,COMPLIANT_EXPERIMENT_ROOT,C:/Users/baloney/Desktop/实验目录/P4_P5_mainline_20260712/runs/20260713_000126_fly1_current_source_full_airborne,,,,,,,,,,,,,,,,,,,,,,,,,,,,batch_exit_codes.csv
