source,run_id,flight_id,stride_input,stride_visual_update,yaw_mode,height_mode,dataset,gps,fc_init,start_time,config,runner,run_dir,has_traj,has_bias,has_diag,has_yaw_diag,has_adaptive_stride,has_analysis_samples,status
baseline_manifest,fly1_stride1_manifest,fly1,1,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,,false,false,false,false,false,false,manifest_control
local_result,fly1_stride1_20260707_032813,fly1,1,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,result\stride12_robustness_8h\active_adaptive\fly1_stride1_20260707_032813,true,true,true,true,true,true,observed
baseline_manifest,fly1_stride2_manifest,fly1,2,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,,false,false,false,false,false,false,manifest_sweep
baseline_manifest,fly1_stride4_manifest,fly1,4,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,,false,false,false,false,false,false,manifest_sweep
baseline_manifest,fly1_stride8_manifest,fly1,8,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,,false,false,false,false,false,false,manifest_sweep
baseline_manifest,fly1_stride12_manifest,fly1,12,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,,false,false,false,false,false,false,manifest_default
local_result,fly1_stride12_20260707_010925,fly1,12,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,result\stride12_robustness_8h\current_stride12\fly1_stride12_20260707_010925,true,true,true,true,false,true,observed
local_result,fly1_stride12_20260707_015450,fly1,12,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,result\stride12_robustness_8h\stride12_shadow\fly1_stride12_20260707_015450,true,true,true,true,true,true,observed
baseline_manifest,fly1_stride16_manifest,fly1,16,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,,false,false,false,false,false,false,manifest_sweep
baseline_manifest,fly1_stride20_manifest,fly1,20,,baseline,guarded,/mnt/c/Users/baloney/Desktop/20260517_gsmq_d455_fly1/d455_20260517_174810,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_gps_cam_time.csv,/mnt/d/vscode_dir/open_vins/config/d455_fly1/fc_init_state_930.csv,930.0,/mnt/d/vscode_dir/open_vins/baseline/latest/config/estimator_config.yaml,/mnt/d/vscode_dir/open_vins/build_ov_msckf/run_serial_msckf_ros_free,,false,false,false,false,false,false,manifest_sweep
